No,SRn,Vp,Is50,UCS
1,69,5390,11.02,158.16
2,64,5440,8.08,125.28
3,68,5740,8.44,129.04
4,67,6310,9.2,142.4
5,65,4740,7.25,109.17
6,66,4930,8.12,121.28
7,67,6370,10.58,165.79
8,72,6360,12.53,193.33
9,69,6210,11.33,173.4
10,70,5980,11.54,170.56
11,69,6690,11.83,175.49
12,70,6430,10.45,159.52
13,65,5510,8.67,129.6
14,67,5690,9.65,150.08
15,71,5860,11.52,175.84
16,68,5840,10.77,157.62
17,65,5570,9.15,136.32
18,72,6220,11.03,177.52
19,71,6440,11.52,178.56
20,59,6300,4.32,68
21,70,4600,13.83,149.2
22,53,4500,4.57,45.2
23,36,2000,1.32,20.1
24,55,5400,5.61,51.3
25,56,3100,3.35,39.5
26,64,5200,12.66,110.9
27,62,2900,7.14,69.1
28,61,5300,6.65,123.8
29,58,3300,5.73,45.1
30,44,2800,8.26,61.8
31,54,5200,5.25,25.7
32,59,5000,16.21,54.3
33,42,2200,1.4,15.7
34,68,5500,9.8,85.2
35,38,3700,7.75,70.5
36,58,4700,5.44,42.1
37,55,5600,12.01,96.3
38,51,4100,3.31,49.9
39,58,5600,8.82,76.1
40,47,3300,3.11,36.1
41,50,5000,7,68.4
42,60,3400,3.6,64.9
43,52,1500,2.13,13.5
44,53,1900,1.73,21.4
45,35,1200,1.43,10.1
46,42,1000,0.57,10.5
47,43.75,3500,7.45,90.24
48,48.83,5780,4.91,46.32
49,50.79,6160,6.56,89.1
50,39.95,5750,4.36,58.02
51,42.2,5130,4.95,51.2
52,37.47,4880,5.09,75.05
53,33.6,3520,3.72,50.33
54,40.8,5300,3.61,32.81
55,20.58,3740,3.75,11.5
56,38,3982,2.442,35.277
57,38,4031,2.85,37.497
58,40,4045,3.15,37.52
59,40,4048,3.438,37.841
60,40,4054,3.501,40.53
61,43,4753,3.594,62.973
62,44,4799,3.86,63.695
63,44,4866,3.938,74.074
64,45,4869,4.05,74.113
65,46,5109,4.408,74.931
66,40,4911,7.425,82.657
67,42,4926,8.5,85.247
68,44,4973,9.5,97.941
69,46,4979,11.29,105.42
70,48,5007,11.356,105.471
71,28,681,1.13,5.63
72,24.6,491,0.97,3.37
73,27.8,1146,1.25,7.85
74,14.5,375,0.53,2.03
75,31.4,509,0.96,4.52
76,35.4,1085,1.69,6.28
77,19.9,436,0.78,2.99
78,26.9,758,1.03,6.5
79,26,727,0.97,4.9
80,22,713,0.79,4.32
81,39.8,1444,1.91,9.54
82,27.5,477,0.86,2.65
83,28.98,705,1.17,5.83
84,26.69,533,1.05,3.65
85,30.3,1249,1.72,8.55
86,33.08,537,1.01,4.76
87,36.94,1132,1.58,6.56
88,20.4,446,0.8,3.06
89,43.44,1576,2.08,10.41
90,62,6750,8.6,239
91,63,5750,7.3,210
92,60,5690,4.1,163
93,56,5180,4,160
94,57,4760,3.9,143
95,57,5570,4,131
96,60,6000,3,127
97,52,4750,3.3,122
98,59,5840,2.2,112
99,55,4580,2.6,111
100,50,4710,1.7,72
101,48,3480,1.5,70
102,46,4500,1.7,62
103,41,3210,1.6,56
104,26,3120,1.2,37
105,22,2540,1.2,23
106,21,2370,1.1,18
107,18,1870,0.9,6.8
108,17,1470,0.9,6.2
109,27.42,5660,3,63.68
110,27.38,5380,2.86,47.46
111,30.13,5090,3.63,37.89
112,25.75,5810,3.1,56.08
113,27.38,5350,3.39,43.46
114,27.63,4820,2.54,25.17
115,26,5590,3.16,30.96
116,29.75,5250,4.01,27.08
117,29.13,5390,3.74,41.51
118,26.13,5540,2.73,28
119,26.88,5230,3.08,30.13
120,28,5400,3.6,32.35
121,26.5,5730,3.02,41.12
122,26.75,5670,2.26,49.63
123,29.63,5100,3.36,41.55
124,27.5,5520,3.3,58.2
125,27.38,5490,3.52,32.92
126,30.5,5050,2.63,25.82
127,26.63,5420,2.91,30.06
128,30.3,5510,3.06,35.38
129,25.63,5450,3.89,39.19
130,27.63,5090,3.32,35.63
131,28.63,5020,3.32,22.7
132,29.88,4840,2.61,27.99
133,29.25,5400,3.26,49.62
134,27.38,5790,3.02,56.56
135,26.25,5190,3.87,28.69
136,28.25,5130,3.17,29.53
137,28.88,5090,2.92,29.91
138,27.63,5670,2.98,71.54
139,55.38,5865,8.35,139.04
140,65.38,5836,10.85,177.37
141,64.43,5945,10.02,167.17
142,66.51,6047,9.92,176.75
143,65.57,5905,11.73,160.82
144,67.07,6250,14.13,198.15
145,60.48,6030,10.63,148.34
146,56.7,5491,6.93,117.95
147,58.59,5753,8.49,134.76
148,58.59,5422,7.87,124.89
149,57.64,5514,8.41,138.22
150,55.76,5428,7.85,130.06
151,57.64,5911,5.99,122.74
152,65.38,6214,11.36,182.33
153,61.8,5729,9.23,150.42
154,60.48,5566,6.92,127.47
155,57.64,6030,9.72,158.69
156,52.92,5384,5.66,91.48
157,46.3,5993,3.93,37.97
158,45.36,6188,3.58,47.05
159,52.55,6074,4.49,49.22
160,52.17,5172,4.03,47.05
161,43.46,5820,3.17,26.55
162,46.3,5445,3.48,33.31
163,37.76,5116,1.52,22.83
164,45.36,5675,3.07,32.07
165,43.46,5882,3.27,39.06
166,31.66,5685,2.45,42.38
167,58.59,6250,7.42,95.14
168,41.25,5850,3.47,35.57
169,54.18,6145,4.85,60.82
170,49.14,5882,2.96,49.08
171,33.95,5321,1.15,21.36
172,46.3,6145,6.06,70.47
173,43.08,6043,4.25,42.95
174,35.67,6024,3.24,49.33
175,55.76,6179,6.63,84.44
176,51.22,3935,5.8,53.63
177,35.86,3389,4.5,19.66
178,55.95,4441,8.38,110.66
179,30.32,2795,1.25,22.04
180,33.38,2985,2.99,17.55
181,51.79,4672,6.75,96.26
182,49.14,4219,6.21,63.78
183,52.29,3508,4.47,44.05
184,46.3,3658,3.31,51.29
185,30.89,2725,1.98,21.75
186,42.51,2830,2.57,39.54
187,25.89,2786,1.33,19.22
188,36.05,2994,2.76,40.05
189,58.59,4624,9.08,124.13
190,51.03,3474,4.36,60.79
191,41.09,3169,3.7,39.24
192,54.18,4522,9.59,83.54
193,42.6,5737,3.2,48.43
194,41.2,5083,2.34,72.91
195,43.1,5393,3.15,78.56
196,38,5910,2.65,55.49
197,36.8,6000,2.54,73.38
198,38.8,6003,2.65,57.85
199,34.4,6200,2.29,53.14
200,31.9,5933,3.68,60.35
201,35.3,5550,2.36,39.53
202,36.5,5720,2.06,41.8
203,42.6,4333,3.12,56.14
204,35.8,5857,2.41,50.32
205,34.2,5073,2.75,26.83
206,38.4,5867,3.62,64.91
207,37.2,5923,2.2,35.72
208,41,4423,1.94,50.32
209,41,5163,3.68,40.9
210,35.6,6083,3.56,69.14
211,38.6,5870,2.37,35.25
212,38,5987,3.92,78.09
213,37.2,6093,2.09,47.02
214,42.8,3863,5.57,64.91
215,31.8,2797,2.55,56.91
216,43.6,3923,4.27,85.15
217,42.8,3707,2.17,42.31
218,44.2,3790,5.61,102.99
219,31.4,3143,2.22,53.45
220,45.4,5380,3.21,76.97
221,44.7,4650,3.99,58.2
222,36.2,5670,2.41,55.67
223,37.4,6013,2.56,58.51
224,35.5,6013,4.07,61.3
225,30.8,5173,2.1,32.95
226,39,6103,2.9,58.99
227,36.3,5843,1.94,66.74
228,44.3,6070,2.49,102.99
229,42.3,5430,2.54,103.93
230,38.8,6440,4.87,131.7
231,40.2,5430,3.57,32.01
232,40.2,5190,1.46,52.2
233,28.2,3643,0.58,24
234,33.8,3543,0.69,30.59
235,38.9,4813,6.07,82.79
236,35.9,3420,2.11,58.32
237,38.8,5390,3.97,53.14
